timestamp;Equipamento;Tipo;Modelo;HEF;HTI;HAO;HOE;HOI;HTD;HMC;HAC;MPS;MPNS;Manutenção Corretiva;Manutenção Preventiva;Manutenção Total;Horas Trabalhadas;Horas Calendario;Producao;DF;UF;RO;Produtividade;Nº Corretivas;Nº Preventivas;Nº Manutenção;MTBF;MTTR;MTBS;MTTS
jan/22;TE2923;Trator (Esteira);Caterpillar D11R;11;146,2;0;0;17,4;0;17,4;0;0;0;17,4;0;17,4;157,2;192;;90,90%;90,10%;81,9;;4;0;4;39,3;4,4;39,3;4,4
jan/22;TE2925;Trator (Esteira);Caterpillar D11R;0;0;0;0;0;0;0;0;192;0;0;192;192;0;192;;0,00%;0,00%;0;;0;1;1;0;0;0;0
jan/22;TE2926;Trator (Esteira);Caterpillar D11R;0;122,2;0;0;17,2;0;13,8;0;1,7;37;13,8;38,7;52,6;122,2;192;;72,60%;87,70%;63,7;;4;3;7;30,6;3,5;17,5;13,1
jan/22;TE2927;Trator (Esteira);Caterpillar D11R;0;0;0;0;0,1;0;61,3;0;130,5;0;61,3;130,5;191,9;0;192;;0,10%;0,00%;0;;1;1;2;0;61,3;0;191,9
jan/22;TE2928;Trator (Esteira);Caterpillar D11R;0;0;0;0;0;0;0;192;0;0;192;0;192;0;192;;0,00%;0,00%;0;;1;0;1;0;192;0;192
jan/22;TE2930;Trator (Esteira);Caterpillar D11R;0;166;0;0;10,7;0;11,2;2,9;1,2;0;14,1;1,2;15,3;166;192;;92,00%;93,90%;86,5;;5;1;6;33,2;2,8;27,7;3,1
jan/22;TE2931;Trator (Esteira);Caterpillar D11R;0;118,4;0;0;16;0;57,6;0;0;0;57,6;0;57,6;118,4;192;;70,00%;88,10%;61,7;;7;0;7;16,9;8,2;16,9;8,2
jan/22;TE2933;Trator (Esteira);Caterpillar D11R;5,2;141,2;0;0;25,2;0;20,5;0;0;0;20,5;0;20,5;146,3;192;;89,30%;85,30%;76,2;;5;0;5;29,3;4,1;29,3;4,1
jan/22;TE2935;Trator (Esteira);Caterpillar D11R;5;156,3;0;0;15;0;13,4;0;2,3;0;13,4;2,3;15,7;161,3;192;;91,80%;91,50%;84;;4;2;6;40,3;3,3;26,9;3,9
jan/22;TE2936;Trator (Esteira);Caterpillar D11R;0;127,2;0;0;26,9;0;37,9;0;0;0;37,9;0;37,9;127,2;192;;80,20%;82,50%;66,2;;3;0;3;42,4;12,6;42,4;12,6
jan/22;TE2937;Trator (Esteira);Caterpillar D11R;0;156,9;0;0;24,8;0,1;10,2;0;0;0;10,2;0;10,2;157;192;;94,70%;86,40%;81,8;;2;0;2;78,5;5,1;78,5;5,1
jan/22;TE2938;Trator (Esteira);Caterpillar D11R;0;129,9;0;0;24,2;0;37,9;0;0;0;37,9;0;37,9;129,9;192;;80,30%;84,30%;67,6;;4;0;4;32,5;9,5;32,5;9,5
jan/22;TE2939;Trator (Esteira);Caterpillar D11R;0;96,1;0;0;24,8;0;0;0;71,1;0;0;71,1;71,1;96,1;192;;63,00%;79,50%;50,1;;0;1;1;0;0;96,1;0
jan/22;TE2940;Trator (Esteira);Caterpillar D11R;0,4;82,4;0;0;31,4;1,6;0;0;58,5;17,7;0;76,3;76,3;84,3;192;;60,30%;72,90%;43,9;;0;3;3;0;0;28,1;0
jan/22;TE2941;Trator (Esteira);Caterpillar D11R;0;163;0;0;22,3;0;6,7;0;0;0;6,7;0;6,7;163;192;;96,50%;88,00%;84,9;;2;0;2;81,5;3,3;81,5;3,3
